,City,Country,Latitude,Longitude,Max Temperature,Cloudiness,Wind Speed,Humidity,Date
0,Lebu,CL,-37.6167,-73.65,291.41,34,4.77,77,1643832436
1,Laguna,US,38.421,-121.4238,289.06,0,5.36,29,1643832756
2,Goderich,CA,43.7501,-81.7165,272.61,100,7.93,96,1643832357
3,Maniitsoq,GL,65.4167,-52.9,256.35,100,8.12,82,1643832954
4,Klaksvík,FO,62.2266,-6.589,278.66,100,3.43,82,1643832432
5,Broken Hill,AU,-31.95,141.4333,288.25,0,8.47,48,1643832515
6,Jamestown,US,42.097,-79.2353,279.77,75,6.69,56,1643832757
7,Ixtapa,MX,20.7,-105.2,296.72,0,5.66,53,1643832955
8,Rawson,AR,-43.3002,-65.1023,300.81,100,3.49,30,1643832369
9,Nuuk,GL,64.1835,-51.7216,260.49,75,4.63,52,1643832429
10,Safford,US,32.834,-109.7076,288.44,74,3.6,36,1643832955
11,Busselton,AU,-33.65,115.3333,292.06,100,6.75,49,1643832955
12,Grindavik,IS,63.8424,-22.4338,271.41,75,0.51,54,1643832956
13,Butaritari,KI,3.0707,172.7902,300.22,41,7.97,81,1643832899
14,La Ronge,CA,55.1001,-105.2842,249.84,6,2.81,82,1643832601
15,East London,ZA,-33.0153,27.9116,297.45,56,8.44,92,1643832799
16,Lázaro Cárdenas,MX,17.9583,-102.2,300.33,0,4.72,55,1643832956
17,Atuona,PF,-9.8,-139.0333,298.42,93,7.02,79,1643832957
18,Lagoa,PT,39.05,-27.9833,287.78,0,3.98,73,1643832585
19,Rikitea,PF,-23.1203,-134.9692,298.67,100,2.65,74,1643832957
20,Cape Town,ZA,-33.9258,18.4232,292.66,75,3.09,90,1643832497
21,Upington,ZA,-28.4478,21.2561,293.49,89,5.55,86,1643832365
22,Torbay,CA,47.6666,-52.7314,271.2,14,0.45,82,1643832332
23,Norman Wells,CA,65.282,-126.8329,242.17,75,3.6,69,1643832958
24,Monrovia,LR,6.3005,-10.7969,300.02,10,4.0,79,1643832958
25,Barrow,US,71.2906,-156.7887,243.16,0,2.06,69,1643832958
26,Hobart,AU,-42.8794,147.3294,285.07,40,3.09,76,1643832959
27,Saldanha,ZA,-33.0117,17.9442,292.29,100,3.01,86,1643832959
28,Araouane,ML,18.9048,-3.5265,294.0,96,5.06,11,1643832959
29,Talnakh,RU,69.4865,88.3972,252.76,95,2.79,99,1643832834
30,Povolzhskiy,RU,53.5854,49.7629,272.94,100,6.76,97,1643832738
31,Qian’an,CN,44.9932,124.0581,247.83,14,1.77,96,1643832960
32,Talara,PE,-4.5772,-81.2719,302.57,0,7.72,54,1643832960
33,Cockburn Town,TC,21.4612,-71.1419,296.13,75,6.17,83,1643832519
34,Narsaq,GL,60.9167,-46.05,258.27,18,2.99,68,1643832802
35,Roald,NO,62.5833,6.1333,274.23,40,4.12,69,1643832961
36,Avarua,CK,-21.2078,-159.775,301.18,75,7.2,83,1643832684
37,Isla Mujeres,MX,21.2311,-86.731,302.18,6,6.57,80,1643832961
38,San Juan del Cesar,CO,10.7711,-73.0031,309.68,8,3.12,28,1643832961
39,Ushuaia,AR,-54.8,-68.3,281.96,75,7.72,57,1643832691
40,Saint George,US,37.1041,-113.5841,279.61,40,0.45,24,1643832438
41,Lagunas,PE,-5.2269,-75.6753,306.68,100,1.79,41,1643832962
42,Hong Kong,HK,22.2855,114.1577,287.73,100,0.89,92,1643832947
43,Tiksi,RU,71.6872,128.8694,252.55,100,2.87,99,1643832932
44,Kumul,CN,42.8,93.45,267.7,1,0.33,33,1643832607
45,Albany,US,42.6001,-73.9662,280.78,89,0.89,72,1643832900
46,Port Alfred,ZA,-33.5906,26.891,296.65,100,4.51,95,1643832677
47,Prince Rupert,CA,54.3161,-130.3201,276.98,100,3.09,100,1643832911
48,Arraial do Cabo,BR,-22.9661,-42.0278,300.07,40,3.6,83,1643832455
49,Shimoda,JP,34.6667,138.95,277.1,18,10.21,61,1643832963
50,Sibut,CF,5.718,19.0739,299.31,13,1.95,21,1643833024
51,Yaan,NG,7.3833,8.5667,302.43,3,2.23,14,1643833024
52,Mar del Plata,AR,-38.0023,-57.5575,303.16,0,5.36,50,1643832799
53,Matara,LK,5.9485,80.5353,295.27,0,4.1,87,1643833025
54,Bluff,NZ,-46.6,168.3333,287.48,100,6.74,72,1643833025
55,Tashtagol,RU,52.7657,87.8894,254.78,99,0.95,100,1643833025
56,Bethel,US,41.3712,-73.414,281.2,100,2.57,73,1643833026
57,Bredasdorp,ZA,-34.5322,20.0403,294.77,46,3.6,68,1643833026
58,Punta Arenas,CL,-53.15,-70.9167,284.16,75,4.63,87,1643832754
59,Guamúchil,MX,25.4667,-108.1,294.08,100,2.17,39,1643833026
60,Muros,ES,42.7762,-9.0603,286.43,100,1.96,77,1643833027
61,Matagami,CA,49.7502,-77.6328,259.21,75,5.66,56,1643833027
62,Kinsale,IE,51.7075,-8.5306,281.8,75,3.6,93,1643833027
63,Valparaíso,CL,-33.0393,-71.6273,298.28,0,3.6,56,1643832987
64,Kontagora,NG,10.3999,5.4695,298.58,98,2.36,12,1643833028
65,Kapit,MY,2.0167,112.9333,295.23,97,0.72,99,1643833028
66,Leh,IN,34.1667,77.5833,257.61,96,1.23,91,1643832852
67,Gympie,AU,-26.1898,152.665,296.1,100,1.06,98,1643833029
68,Puerto Ayora,EC,-0.7393,-90.3518,302.13,45,3.58,88,1643832905
69,Bougouni,ML,11.417,-7.479,298.61,5,2.43,7,1643833029
70,Vila Franca do Campo,PT,37.7167,-25.4333,288.26,20,4.1,80,1643832804
71,Dicabisagan,PH,17.0818,122.4157,295.91,60,0.95,82,1643832798
72,Dinājpur,BD,25.6272,88.6386,291.26,71,2.76,50,1643833029
73,Naze,JP,28.3667,129.4833,287.31,100,5.81,91,1643833030
74,Airai,TL,-8.9266,125.4092,288.88,100,1.01,88,1643833030
75,West Plains,US,36.7281,-91.8524,269.97,100,3.13,89,1643833030
76,Córdoba,AR,-31.4135,-64.1811,303.38,40,1.34,56,1643833031
77,Yellowknife,CA,62.456,-114.3525,242.82,20,1.54,80,1643833024
78,Taksimo,RU,56.3444,114.8794,243.78,19,1.19,92,1643833031
79,Dikson,RU,73.5069,80.5464,250.77,97,4.83,98,1643833032
80,Mataura,NZ,-46.1927,168.8643,287.3,100,2.0,98,1643833032
81,Mountain Home,US,43.133,-115.6912,273.56,40,8.75,93,1643833032
82,Moctezuma,MX,29.8,-109.6667,288.16,97,9.79,48,1643833033
83,Castro,BR,-24.7911,-50.0119,297.56,40,0.56,71,1643833033
84,Moranbah,AU,-22.0016,148.0466,298.48,100,2.66,84,1643833033
85,Karratha,AU,-20.7377,116.8463,300.62,100,3.62,72,1643833034
86,Bambanglipuro,ID,-7.95,110.2833,290.15,100,3.48,91,1643833034
87,Pangnirtung,CA,66.1451,-65.7125,259.15,100,8.23,78,1643833034
88,Aseri,EE,59.4506,26.8675,264.35,96,1.64,95,1643833035
89,Kodinsk,RU,58.6881,99.1844,252.85,100,1.25,100,1643832994
90,Ahipara,NZ,-35.1667,173.1667,294.71,99,5.33,83,1643833032
91,Petersburg,US,37.2279,-77.4019,286.97,0,1.54,52,1643832740
92,Olinda,BR,-8.0089,-34.8553,302.0,40,5.14,70,1643833035
93,Okhotsk,RU,59.3833,143.3,258.89,100,7.3,74,1643832892
94,Curuçá,BR,-0.7289,-47.8481,298.4,85,3.37,92,1643833036
95,Norden,DE,53.6,7.2,279.23,100,4.55,90,1643833036
96,Nara,JP,34.6851,135.8049,279.75,94,1.96,62,1643833036
97,Hilo,US,19.7297,-155.09,299.0,40,0.0,71,1643833037
98,Provideniya,RU,64.3833,-173.3,257.45,1,10.26,67,1643833037
99,Hofn,IS,64.2539,-15.2082,271.72,100,2.74,58,1643833037
100,Vaini,TO,-21.2,-175.2,302.24,40,2.57,79,1643832804
101,Salalah,OM,17.0151,54.0924,296.2,0,1.54,40,1643833098
102,Khovd,MN,48.0056,91.6419,252.92,98,0.63,96,1643833098
103,Kholodnyy,RU,62.7167,147.95,245.56,100,1.97,99,1643833099
104,Snezhnogorsk,RU,69.1933,33.2531,254.03,100,0.23,96,1643833099
105,Qaanaaq,GL,77.484,-69.3632,246.2,100,3.02,73,1643832758
106,Kavaratti,IN,10.5669,72.642,299.75,7,4.9,71,1643832733
107,Bishoftu,ET,8.75,38.9833,291.05,100,5.4,53,1643833100
108,Pandan,PH,14.0453,124.1694,297.96,100,6.66,88,1643832803
109,Geraldton,AU,-28.7667,114.6,302.38,0,7.2,18,1643833100
110,Kargat,RU,55.1956,80.2811,253.34,100,2.22,100,1643833101
111,San Sebastian,ES,43.3128,-1.975,283.79,1,0.45,88,1643833101
112,Playas,EC,-2.6333,-80.3833,299.31,6,5.63,70,1643833101
113,Dingle,PH,10.9995,122.6711,296.39,100,3.87,94,1643833036
114,Bambous Virieux,MU,-20.3428,57.7575,300.29,75,13.38,89,1643833102
115,Beringovskiy,RU,63.05,179.3167,255.27,65,8.74,83,1643833102
116,Chui,UY,-33.6971,-53.4616,299.77,0,6.26,60,1643832899
117,New Norfolk,AU,-42.7826,147.0587,284.87,55,0.45,73,1643833102
118,Talaya,RU,61.3833,152.75,249.26,100,1.88,98,1643833103
119,Muscat,OM,23.6139,58.5922,294.16,0,4.76,58,1643833103
120,Tasiilaq,GL,65.6145,-37.6368,262.24,100,3.07,71,1643833103
121,Montrose,US,38.4166,-108.2673,265.82,31,5.34,54,1643833104
122,Qeshm,IR,26.9581,56.2719,293.08,0,10.29,49,1643832588
123,Arecibo,PR,18.4724,-66.7157,302.35,10,1.34,73,1643833104
124,Saskylakh,RU,71.9167,114.0833,238.81,28,1.25,100,1643832957
125,Ishigaki,JP,24.3448,124.1572,295.23,65,7.93,80,1643833104
126,Carlsbad,US,33.1581,-117.3506,294.34,0,1.79,16,1643832957
127,Hualmay,PE,-11.0964,-77.6139,297.63,4,5.65,67,1643833105
128,Rosetta,EG,31.4044,30.4164,286.35,100,5.55,51,1643833105
129,Labuhan,ID,-6.8844,112.2051,298.34,100,2.77,87,1643833106
130,Quesnel,CA,52.9999,-122.5029,260.43,100,4.63,85,1643833106
131,Ca Mau,VN,9.1769,105.15,297.28,93,2.83,88,1643833106
132,Kapaa,US,22.0752,-159.319,299.14,20,0.45,70,1643833107
133,Chokurdakh,RU,70.6333,147.9167,245.25,100,2.94,97,1643833105
134,Upernavik,GL,72.7868,-56.1549,252.78,100,2.48,68,1643832578
135,Oriximiná,BR,-1.7656,-55.8661,302.67,83,2.95,66,1643833107
136,Wajid,SO,3.8093,43.2471,301.33,71,4.22,35,1643833108
137,Forio,IT,40.7342,13.8646,284.41,0,0.89,76,1643833108
138,Ancud,CL,-41.8697,-73.8203,294.94,92,3.88,72,1643833108
139,Grand Gaube,MU,-20.0064,57.6608,299.47,100,8.94,89,1643832579
140,Nikolskoye,RU,59.7035,30.7861,268.09,99,0.49,99,1643833096
141,Tuli,PH,7.2333,125.4167,296.53,100,0.57,86,1643833109
142,Tuktoyaktuk,CA,69.4541,-133.0374,240.15,40,4.63,75,1643833105
143,Cap Malheureux,MU,-19.9842,57.6142,300.42,100,9.83,89,1643833109
144,Sakakah,SA,29.9697,40.2064,284.91,8,5.98,37,1643833109
145,Kutum,SD,14.2,24.6667,292.63,75,1.54,21,1643832736
146,Peterhead,GB,57.5058,-1.7981,283.46,100,4.31,92,1643833110
147,São Gabriel da Cachoeira,BR,-0.1303,-67.0892,303.92,91,1.32,59,1643833110
148,Rocky Mountain House,CA,52.3668,-114.9188,255.01,100,4.63,65,1643833110
149,‘Ewa Beach,US,21.3156,-158.0072,300.12,0,1.34,64,1643833064
150,Hasaki,JP,35.7333,140.8333,268.37,51,2.25,45,1643833171
151,Fukuechō,JP,32.6881,128.8419,280.74,100,8.56,55,1643832650
152,Makakilo City,US,21.3469,-158.0858,299.33,0,2.57,64,1643832928
153,Longyearbyen,SJ,78.2186,15.6401,265.06,87,6.69,67,1643833171
154,Kouango,CF,4.9934,19.9619,301.43,75,0.82,22,1643833172
155,Aykhal,RU,66.0,111.5,243.6,5,1.33,100,1643832582
156,Lorengau,PG,-2.0226,147.2712,299.66,100,5.3,80,1643833172
157,Maroantsetra,MG,-15.4333,49.7333,297.44,100,1.34,86,1643833172
158,Yulara,AU,-25.2406,130.9889,292.06,100,4.63,68,1643833173
159,Beloha,MG,-25.1667,45.05,296.54,0,9.17,73,1643833173
160,Heihe,CN,50.2441,127.4902,254.47,9,4.48,86,1643833173
161,Shelopugino,RU,51.6514,117.5599,240.62,63,0.94,100,1643833174
162,Ponta do Sol,PT,32.6667,-17.1,292.6,100,1.74,82,1643833174
163,Lüderitz,NA,-26.6481,15.1594,293.0,61,0.37,80,1643832379
164,Allanridge,ZA,-27.7543,26.6438,294.04,82,2.01,85,1643833174
165,Paamiut,GL,61.994,-49.6678,258.55,100,6.31,70,1643833175
166,Laas,IT,46.6166,10.7002,277.8,91,3.53,95,1643832577
167,Hermanus,ZA,-34.4187,19.2345,292.54,10,4.73,85,1643832947
168,Ulladulla,AU,-35.35,150.4667,289.87,88,5.49,69,1643833175
169,Sorong,ID,-0.8833,131.25,298.55,100,1.54,87,1643833175
170,Nchelenge,ZM,-9.3451,28.734,295.41,100,2.11,75,1643833176
171,Touros,BR,-5.1989,-35.4608,302.65,58,5.94,68,1643832957
172,Port Blair,IN,11.6667,92.75,297.69,75,2.94,73,1643832366
173,Mandalgovi,MN,45.7625,106.2708,255.46,3,4.52,76,1643833176
174,Komono,JP,35.0,136.5167,278.6,65,1.99,69,1643833176
175,Tautira,PF,-17.7333,-149.15,300.16,18,8.04,77,1643833177
176,Mahébourg,MU,-20.4081,57.7,299.4,100,15.68,94,1643832728
177,Mossamedes,AO,-15.1961,12.1522,296.39,76,5.09,69,1643833177
178,Choya,RU,52.0108,86.5467,256.18,96,1.5,99,1643833177
179,Nelson Bay,AU,-32.7167,152.15,291.54,100,0.89,93,1643833178
180,Buala,SB,-8.145,159.5921,299.26,100,2.78,84,1643833178
181,Manono,CD,-7.3,27.4167,294.01,100,1.1,95,1643833178
182,Isangel,VU,-19.55,169.2667,299.29,99,0.51,83,1643832874
183,Samarai,PG,-10.6167,150.6667,299.51,95,3.19,81,1643833179
184,Ilulissat,GL,69.2167,-51.1,256.16,20,13.38,60,1643833179
185,Sisimiut,GL,66.9395,-53.6735,255.51,100,8.28,80,1643833008
186,Belaya Gora,RU,68.5333,146.4167,241.37,100,2.14,100,1643833179
187,Pevek,RU,69.7008,170.3133,250.49,33,1.92,77,1643833120
188,São Filipe,CV,14.8961,-24.4956,297.25,6,8.43,66,1643832976
189,Hithadhoo,MV,-0.6,73.0833,301.0,81,2.96,70,1643833180
190,Touba,CI,8.2833,-7.6833,298.99,32,1.15,14,1643833180
191,Bosaso,SO,11.2842,49.1816,296.56,9,1.96,73,1643832655
192,Bonnyville,CA,54.2668,-110.735,249.04,23,4.69,86,1643832912
193,Saint-Philippe,RE,-21.3585,55.7679,299.92,100,14.15,93,1643833052
194,George Town,MY,5.4112,100.3354,300.31,20,1.03,86,1643832539
195,Itoman,JP,26.1247,127.6694,294.16,75,4.12,92,1643832589
196,Vallenar,CL,-28.5708,-70.7581,301.22,0,5.23,31,1643832804
197,Tura,IN,25.5198,90.2201,288.24,87,2.08,55,1643833181
198,Gīdolē,ET,5.65,37.3667,293.37,100,1.23,30,1643833182
199,Khatanga,RU,71.9667,102.5,234.31,52,0.74,99,1643833182
200,Anadyr,RU,64.75,177.4833,259.77,0,8.35,57,1643832726
201,Waipawa,NZ,-41.4122,175.5153,293.5,98,6.57,68,1643833243
202,Nanortalik,GL,60.1432,-45.2371,258.92,1,5.11,72,1643833243
203,San Juan del Sur,NI,11.2529,-85.8705,302.27,20,3.09,61,1643833243
204,Salina,US,38.8403,-97.6114,267.14,100,7.72,58,1643833041
205,Kobryn,BY,52.2138,24.3564,272.04,99,6.01,90,1643833244
206,Lixouri,GR,38.2019,20.4314,283.82,100,8.8,72,1643833244
207,Mackay,AU,-21.15,149.2,299.64,99,2.01,83,1643833244
208,Vanderhoof,CA,54.0166,-124.0198,261.29,100,1.56,93,1643833245
209,Half Moon Bay,US,37.4636,-122.4286,290.22,0,2.68,31,1643833245
210,Marawi,PH,7.9986,124.2928,292.4,97,0.59,90,1643833245
211,Tal'menka,RU,53.8183,83.5677,263.84,85,0.16,100,1643833246
212,Kelapa Sawit,MY,1.6698,103.5327,299.1,38,1.65,95,1643833246
213,Vanimo,PG,-2.6741,141.3028,298.48,100,1.9,87,1643833246
214,Carnarvon,AU,-24.8667,113.6333,298.19,98,4.12,88,1643832957
215,Guerrero Negro,MX,27.9769,-114.0611,290.73,4,6.75,53,1643833247
216,Aracati,BR,-4.5617,-37.7697,302.01,31,4.9,66,1643833247
217,Kavieng,PG,-2.5744,150.7967,298.35,100,5.81,86,1643833248
218,Coyhaique,CL,-45.5752,-72.0662,292.12,40,5.14,52,1643833155
219,Maxixe,MZ,-23.8597,35.3472,297.64,16,3.09,83,1643833248
220,Slyudyanka,RU,51.6594,103.7061,257.45,75,2.37,92,1643833248
221,Acapulco de Juárez,MX,16.8634,-99.8901,302.05,40,4.12,61,1643833238
222,Champerico,GT,14.3,-91.9167,306.45,0,5.26,59,1643833249
223,Katobu,ID,-4.9408,122.5276,297.32,100,0.7,90,1643833249
224,Ambilobe,MG,-13.2,49.05,296.39,98,0.65,95,1643833250
225,Port Hardy,CA,50.6996,-127.4199,279.68,100,6.69,93,1643833250
226,Bilibino,RU,68.0546,166.4372,251.08,96,2.41,63,1643833250
227,São Borja,BR,-28.6606,-56.0044,313.68,8,2.34,12,1643833251
228,Bathsheba,BB,13.2167,-59.5167,301.49,40,7.2,65,1643833251
229,Aklavik,CA,68.2191,-135.0107,241.15,40,1.03,75,1643833251
230,Faanui,PF,-16.4833,-151.75,300.21,18,7.59,75,1643833251
231,Saint Paul Harbor,US,57.79,-152.4072,275.88,100,0.0,93,1643833252
232,Port Lincoln,AU,-34.7333,135.8667,289.52,31,5.69,76,1643833252
233,Altamira,BR,-3.2033,-52.2064,303.2,40,3.6,70,1643833252
234,Nanyamba,TZ,-10.6833,39.8333,295.25,22,1.07,96,1643833253
235,Taree,AU,-31.9,152.4667,294.88,75,3.6,100,1643833253
236,Mayo,US,38.8876,-76.5119,283.78,0,1.79,69,1643832802
237,Maniwaki,CA,46.3834,-75.966,272.36,100,3.6,100,1643833060
238,Severo-Yeniseyskiy,RU,60.3725,93.0408,260.8,100,2.22,95,1643833254
239,Kamaishi,JP,39.2667,141.8833,272.48,7,3.07,64,1643833254
240,Namwala,ZM,-15.7504,26.4384,292.59,5,1.79,96,1643832657
241,Nueva Rosita,MX,27.95,-101.2167,289.93,87,4.54,41,1643833254
242,Ereymentau,KZ,51.6199,73.1033,261.59,100,1.97,84,1643833255
243,Kiryat Gat,IL,31.61,34.7642,288.93,99,2.71,59,1643833255
244,Maceió,BR,-9.6658,-35.7353,303.84,40,7.2,66,1643832731
245,Eresós,GR,39.1667,25.9333,282.88,100,2.51,86,1643833255
246,Boddam,GB,57.4667,-1.7833,284.47,100,4.82,92,1643833256
247,Alofi,NU,-19.0595,-169.9187,297.37,100,9.69,88,1643832801
248,Teahupoo,PF,-17.8333,-149.2667,297.13,20,8.19,76,1643833256
249,Parkes,AU,-33.1333,148.1833,287.23,0,1.94,88,1643833256
250,Moussoro,TD,13.6408,16.4901,293.05,1,4.61,12,1643833317
251,Henties Bay,NA,-22.116,14.2845,294.18,86,2.76,79,1643833317
252,Bengkulu,ID,-3.8004,102.2655,297.54,99,1.91,90,1643833317
